t_hours,T_out_C,T_in_C,T_bed_avg_C
176.75,,,44.87311732116724
177.0,,,44.87209988944174
177.25,,,44.87108249623679
177.5,,,44.87006514155094
177.75,,,44.86904782538271
178.0,,,44.86803054773067
178.25,,,44.86701330859334
178.5,,,44.86599610796928
178.75,,,44.864978945857025
179.0,,,44.863961822255106
179.25,,,44.862944737162074
179.5,,,44.86192769057647
179.75,,,44.86091068249684
180.0,,,44.859893712921725
180.25,,,44.858876781849666
180.5,,,44.8578598892792
180.75,,,44.85684303520886
181.0,,,44.85582621963722
181.25,,,44.854809442562804
181.5,,,44.85379270398415
181.75,,,44.8527760038998
182.0,,,44.851759342308306
182.25,,,44.850742719208206
182.5,,,44.84972613459804
182.75,,,44.84870958847636
183.0,,,44.8476930808417
183.25,,,44.84667661169261
183.5,,,44.84566018102762
183.75,,,44.84464378884529
184.0,,,44.84362743514414
184.25,,,44.84261111992274
184.5,,,44.84159484317962
184.75,,,44.840578604913325
185.0,,,44.83956240512239
185.25,,,44.83854624380537
185.5,,,44.83753012096081
185.75,,,44.83651403658723
186.0,,,44.83549799068321
186.25,,,44.83448198324726
186.5,,,44.83346601427794
186.75,,,44.83245008377379
187.0,,,44.831434191733365
187.25,,,44.830418338155184
187.5,,,44.82940252303782
187.75,,,44.82838674637979
188.0,,,44.82737100817967
188.25,,,44.826355308435964
188.5,,,44.825339647147246
188.75,,,44.82432402431205
189.0,,,44.823308439928915
189.25,,,44.82229289399639
189.5,,,44.821277386513025
189.75,,,44.82026191747736
190.0,,,44.819246486887934
190.25,,,44.818231094743304
190.5,,,44.817215741042
190.75,,,44.816200425782576
191.0,,,44.815185148963565
191.25,,,44.81416991058353
191.5,,,44.813154710641
191.75,,,44.81213954913453
192.0,44.66622147400964,45.0,44.814384246216036
192.25,44.66826628337967,45.0,44.816615191730946
192.5,44.67030901545231,45.0,44.81883239964933
192.75,44.672349984061185,45.0,44.82103588183067
193.0,44.67438941275291,45.0,44.823225648631066
193.25,44.67642744780341,45.0,44.82540170942292
193.5,44.67846417145099,45.0,44.827564073025556
193.75,44.68049961517445,45.0,44.8297127480466
194.0,44.68253377280385,45.0,44.831847743135185
194.25,44.68456661322285,45.0,44.83396906714968
194.5,44.6865980924062,45.0,44.83607672924457
194.75,44.68862816453397,45.0,44.83817073888241
195.0,44.69065679193483,45.0,44.840251105779195
195.25,44.69268395363415,45.0,44.8423178397919
195.5,44.69470965231683,45.0,44.84437095075949
195.75,44.696733919558625,45.0,44.84641044830855
196.0,44.69875681923135,45.0,44.84843634163614
196.25,44.70077844904398,45.0,44.850448639282185
196.5,44.70279894024183,45.0,44.85244734890402
196.75,44.704818455546175,45.0,44.854432477064634
197.0,44.70683718547565,45.0,44.85640402904575
