t_hours,T_bed_C,charge_kW,discharge_kW,loss_kW,T_supply_C
3542.25,41.13140195949314,0.0,0.0,0.6511428571142885,
3542.5,41.130526191269915,0.0,0.0,0.6511182044700586,
3542.75,41.12965045620378,0.0,0.0,0.6510935527591925,
3543.0,41.128774754293474,0.0,0.0,0.651068901981654,
3543.25,41.127899085537756,0.0,0.0,0.6510442521374082,
3543.5,41.12702344993536,0.0,0.0,0.6510196032264199,
3543.75,41.12614784748503,0.0,0.0,0.6509949552486535,
3544.0,41.12527227818551,0.0,0.0,0.6509703082040739,
3544.25,41.12439674203556,0.0,0.0,0.6509456620926453,
3544.5,41.123521239033906,0.0,0.0,0.6509210169143329,
3544.75,41.1226457691793,0.0,0.0,0.6508963726691012,
3545.0,41.12177033247049,0.0,0.0,0.6508717293569146,
3545.25,41.12089492890622,0.0,0.0,0.6508470869777383,
3545.5,41.12001955848523,0.0,0.0,0.6508224455315366,
3545.75,41.11914422120628,0.0,0.0,0.6507978050182743,
3546.0,41.11826891706809,0.0,0.0,0.6507731654379161,
3546.25,41.11739364606943,0.0,0.0,0.6507485267904265,
3546.5,41.11651840820903,0.0,0.0,0.6507238890757703,
3546.75,41.11564320348565,0.0,0.0,0.6506992522939123,
3547.0,41.114768031898016,0.0,0.0,0.6506746164448172,
3547.25,41.113892893444884,0.0,0.0,0.6506499815284494,
3547.5,41.113017788125,0.0,0.0,0.6506253475447737,
3547.75,41.11214271593711,0.0,0.0,0.6506007144937548,
3548.0,41.111267676879955,0.0,0.0,0.6505760823753576,
3548.25,41.11039267095229,0.0,0.0,0.6505514511895465,
3548.5,41.10951769815284,0.0,0.0,0.6505268209362864,
3548.75,41.10864275848038,0.0,0.0,0.6505021916155417,
3549.0,41.10776785193363,0.0,0.0,0.6504775632272775,
3549.25,41.106892978511354,0.0,0.0,0.6504529357714581,
3549.5,41.106018138212285,0.0,0.0,0.6504283092480485,
3549.75,41.10514333103518,0.0,0.0,0.6504036836570132,
3550.0,41.104268556978774,0.0,0.0,0.6503790589983172,
3550.25,41.10339381604182,0.0,0.0,0.6503544352719247,
3550.5,41.10251910822306,0.0,0.0,0.650329812477801,
3550.75,41.10164443352125,0.0,0.0,0.6503051906159101,
3551.0,41.10076979193513,0.0,0.0,0.6502805696862174,
3551.25,41.09989518346344,0.0,0.0,0.6502559496886873,
3551.5,41.09902060810493,0.0,0.0,0.6502313306232844,
3551.75,41.09814606585835,0.0,0.0,0.6502067124899735,
3552.0,41.09727155672245,0.0,0.0,0.6501820952887194,
3552.25,41.09639708069596,0.0,0.0,0.6501574790194868,
3552.5,41.09552263777764,0.0,0.0,0.6501328636822402,
3552.75,41.09464822796623,0.0,0.0,0.6501082492769447,
3553.0,41.09377385126049,0.0,0.0,0.6500836358035644,
3553.25,41.09289950765915,0.0,0.0,0.6500590232620648,
3553.5,41.092025197160964,0.0,0.0,0.6500344116524099,
3553.75,41.09115091976468,0.0,0.0,0.6500098009745651,
3554.0,41.09027667546904,0.0,0.0,0.6499851912284946,
3554.25,41.089402464272794,0.0,0.0,0.6499605824141632,
3554.5,41.088528286174686,0.0,0.0,0.6499359745315357,
3554.75,41.087654141173466,0.0,0.0,0.6499113675805769,
3555.0,41.08678002926788,0.0,0.0,0.6498867615612515,
3555.25,41.08590595045668,0.0,0.0,0.649862156473524,
3555.5,41.0850319047386,0.0,0.0,0.6498375523173595,
3555.75,41.0841578921124,0.0,0.0,0.6498129490927225,
3556.0,41.083283912576825,0.0,0.0,0.6497883467995778,
3556.25,41.08240996613061,0.0,0.0,0.6497637454378902,
3556.5,41.08153605277252,0.0,0.0,0.6497391450076241,
3556.75,41.08066217250129,0.0,0.0,0.6497145455087445,
3557.0,41.079788325315675,0.0,0.0,0.6496899469412164,
3557.25,41.078914511214414,0.0,0.0,0.6496653493050041,
3557.5,41.078040730196264,0.0,0.0,0.6496407526000724,
3557.75,41.07716698225997,0.0,0.0,0.6496161568263863,
3558.0,41.07629326740427,0.0,0.0,0.6495915619839103,
3558.25,41.07541958562792,0.0,0.0,0.6495669680726093,
3558.5,41.07454593692967,0.0,0.0,0.6495423750924478,
3558.75,41.07367232130826,0.0,0.0,0.649517783043391,
3559.0,41.07279873876244,0.0,0.0,0.6494931919254031,
3559.25,41.07192518929096,0.0,0.0,0.6494686017384491,
3559.5,41.071051672892565,0.0,0.0,0.649444012482494,
3559.75,41.07017818956601,0.0,0.0,0.6494194241575021,
3560.0,41.069304739310034,0.0,0.0,0.6493948367634385,
3560.25,41.06843132212339,0.0,0.0,0.6493702503002678,
3560.5,41.067557938004825,0.0,0.0,0.6493456647679546,
3560.75,41.06668458695309,0.0,0.0,0.6493210801664642,
3561.0,41.065811268966925,0.0,0.0,0.6492964964957608,
3561.25,41.06493798404508,0.0,0.0,0.6492719137558095,
3561.5,41.06406473218631,0.0,0.0,0.6492473319465746,
3561.75,41.063191513389356,0.0,0.0,0.6492227510680213,
3562.0,41.062318327652974,0.0,0.0,0.6491981711201142,
3562.25,41.06144517497591,0.0,0.0,0.6491735921028183,
3562.5,41.06057205535691,0.0,0.0,0.6491490140160981,
3562.75,41.05969896879471,0.0,0.0,0.6491244368599185,
3563.0,41.05882591528808,0.0,0.0,0.6490998606342441,
3563.25,41.05795289483576,0.0,0.0,0.6490752853390398,
3563.5,41.057079907436496,0.0,0.0,0.6490507109742703,
3563.75,41.05620695308904,0.0,0.0,0.6490261375399005,
3564.0,41.055334031792135,0.0,0.0,0.649001565035895,
3564.25,41.054461143544536,0.0,0.0,0.6489769934622188,
3564.5,41.05358828834499,0.0,0.0,0.6489524228188365,
3564.75,41.05271546619225,0.0,0.0,0.6489278531057129,
3565.0,41.051842677085055,0.0,0.0,0.6489032843228129,
3565.25,41.05096992102216,0.0,0.0,0.6488787164701012,
3565.5,41.05009719800231,0.0,0.0,0.6488541495475424,
3565.75,41.04922450802426,0.0,0.0,0.6488295835551017,
3566.0,41.04835185108676,0.0,0.0,0.6488050184927434,
3566.25,41.047479227188546,0.0,0.0,0.6487804543604327,
3566.5,41.046606636328384,0.0,0.0,0.6487558911581343,
3566.75,41.04573407850501,0.0,0.0,0.6487313288858126,
3567.0,41.04486155371718,0.0,0.0,0.648706767543433,
3567.25,41.04398906196365,0.0,0.0,0.6486822071309599,
3567.5,41.043116603243156,0.0,0.0,0.6486576476483582,
3567.75,41.04224417755445,0.0,0.0,0.6486330890955927,
3568.0,41.041371784896285,0.0,0.0,0.6486085314726282,
3568.25,41.04049942526741,0.0,0.0,0.6485839747794293,
3568.5,41.03962709866658,0.0,0.0,0.6485594190159613,
3568.75,41.03875480509253,0.0,0.0,0.6485348641821884,
3569.0,41.03788254454402,0.0,0.0,0.6485103102780757,
3569.25,41.0370103170198,0.0,0.0,0.648485757303588,
3569.5,41.036138122518615,0.0,0.0,0.6484612052586902,
